"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.246466667E-2,-1.279539185E0,5.691314850E0,7.633975067E0,9.607593901E0
5.243766667E-2,-1.359023895E0,5.704337769E0,7.658823395E0,9.645931325E0
6.241066667E-2,-1.357976074E0,5.690865784E0,7.646548920E0,9.628071602E0
7.238366667E-2,-1.281934204E0,5.501210175E0,7.592810669E0,9.463479410E0
8.235666667E-2,-1.268013153E0,5.345982971E0,7.699838104E0,9.459117195E0
9.232966667E-2,-1.324296112E0,5.341791687E0,7.890391846E0,9.620123809E0
1.023026667E-1,-1.441053314E0,5.417234802E0,7.962541809E0,9.737820065E0
1.122746667E-1,-1.521585846E0,5.491330719E0,7.919730835E0,9.756642509E0
1.222476667E-1,-1.560953979E0,5.566923523E0,7.904312897E0,9.793129081E0
1.322206667E-1,-1.585802307E0,5.649701385E0,8.061336365E0,9.970909622E0
1.421936667E-1,-1.622176666E0,5.759273529E0,8.278983765E0,1.021480596E1
1.521666667E-1,-1.669029236E0,5.825735321E0,8.387208710E0,1.034746928E1
1.621396667E-1,-1.585203552E0,5.667963409E0,8.245303802E0,1.013033634E1
1.721126667E-1,-1.369202728E0,5.344635773E0,7.981252899E0,9.702589628E0
1.820856667E-1,-1.153501282E0,5.010979614E0,7.819439392E0,9.358638486E0
1.920586667E-1,-9.928852844E-1,4.807702332E0,7.904911652E0,9.305237832E0
2.020316667E-1,-8.315208435E-1,4.750221863E0,8.063731384E0,9.395732994E0
2.120037083E-1,-7.041357422E-1,4.770878906E0,8.125403137E0,9.448770757E0
2.219757083E-1,-6.629713440E-1,4.786895599E0,8.024512939E0,9.367321303E0
2.319487083E-1,-7.575746155E-1,4.800966339E0,7.885152740E0,9.262765830E0
2.419217083E-1,-8.551716614E-1,4.952151947E0,7.939190369E0,9.396056151E0
2.518947083E-1,-9.771679688E-1,5.046455841E0,8.058192902E0,9.558035710E0
2.618677083E-1,-1.052461395E0,5.165907440E0,8.231682129E0,9.775216895E0
2.718407083E-1,-1.110690308E0,5.202581177E0,8.286318512E0,9.847007583E0
2.818137083E-1,-1.139430542E0,5.156776428E0,8.348589020E0,9.878744035E0
2.917867083E-1,-1.166075134E0,5.037923584E0,8.362360382E0,9.832063691E0
3.017597083E-1,-1.186432800E0,4.965025177E0,8.393944702E0,9.824327227E0
3.117327083E-1,-1.195713501E0,4.968617706E0,8.376730499E0,9.812568805E0
3.217057083E-1,-1.157842255E0,5.019362183E0,8.301736450E0,9.770026791E0
3.316787083E-1,-1.084345093E0,5.063370667E0,8.264613647E0,9.752813211E0
3.416507083E-1,-1.018332367E0,5.049449615E0,8.227790222E0,9.707238236E0
3.516237083E-1,-9.351054382E-1,4.996010742E0,8.215665436E0,9.660833508E0
3.615967083E-1,-9.286688232E-1,4.934788055E0,8.236472168E0,9.646451820E0
3.715697083E-1,-9.452842712E-1,4.899162140E0,8.273145905E0,9.661278134E0
3.815427083E-1,-9.578581238E-1,4.861440582E0,8.209079132E0,9.588538831E0
3.915157083E-1,-9.674382019E-1,4.787494354E0,8.145162048E0,9.497352455E0
4.014887083E-1,-1.021775208E0,4.778063965E0,8.341104584E0,9.666847754E0
4.114617083E-1,-1.094673615E0,4.856351166E0,8.551566925E0,9.895036829E0
4.214347083E-1,-1.098715210E0,4.934788055E0,8.443341980E0,9.841205823E0
4.314077083E-1,-1.025218048E0,4.983586578E0,8.217611389E0,9.665213095E0
4.413807083E-1,-9.581575012E-1,5.051994324E0,8.169710999E0,9.653232114E0
4.513537083E-1,-1.016386414E0,5.094356232E0,8.289761353E0,9.782926456E0
4.613267083E-1,-1.092577972E0,5.116360474E0,8.353528748E0,9.856587323E0
4.712997083E-1,-9.900411987E-1,5.055886230E0,8.321495361E0,9.787208601E0
4.812717083E-1,-9.517208862E-1,4.960085449E0,8.284671936E0,9.702783590E0
4.912447083E-1,-9.783654785E-1,4.894222412E0,8.339607697E0,9.719036401E0
5.012177083E-1,-9.782157898E-1,4.852758636E0,8.343050537E0,9.701168217E0
5.111907083E-1,-9.891430664E-1,4.814438324E0,8.242010651E0,9.596247180E0
5.211637083E-1,-9.898915100E-1,4.796176300E0,8.243357849E0,9.588333585E0
5.311367083E-1,-1.020428009E0,4.812642059E0,8.281378784E0,9.632446806E0
5.411097083E-1,-1.032253418E0,4.838238831E0,8.288414154E0,9.652559831E0
5.510827083E-1,-1.026714935E0,4.865033112E0,8.339458008E0,9.709235325E0
5.610557083E-1,-1.056502991E0,4.906796265E0,8.410859528E0,9.794662125E0
5.710287083E-1,-1.078357544E0,4.928201752E0,8.375982056E0,9.777888468E0
5.810017083E-1,-1.066532135E0,4.921615448E0,8.292455750E0,9.701783948E0
5.909747083E-1,-1.063987427E0,4.907694397E0,8.247399445E0,9.655937610E0
6.009477083E-1,-1.059646454E0,4.905449066E0,8.269403687E0,9.673123512E0
6.109207083E-1,-1.058299255E0,4.853357391E0,8.240214386E0,9.621653102E0
6.208937083E-1,-1.028211823E0,4.789290619E0,8.225544891E0,9.573615458E0
6.308667083E-1,-1.020727386E0,4.799319763E0,8.323740692E0,9.662298572E0
6.408387083E-1,-1.005159760E0,4.872367859E0,8.447982330E0,9.804015511E0
6.508117083E-1,-9.750723267E-1,4.936734009E0,8.533304901E0,9.906533261E0
6.607847083E-1,-9.524693298E-1,4.963827667E0,8.423134003E0,9.823236196E0
6.707577083E-1,-8.680448914E-1,4.947062531E0,8.358618164E0,9.751585883E0
6.807307083E-1,-8.409512329E-1,4.902754669E0,8.383167114E0,9.747907118E0
6.907037083E-1,-8.996292114E-1,4.850812683E0,8.346792755E0,9.695806604E0
7.006767083E-1,-9.574090576E-1,4.828359375E0,8.266260223E0,9.620849466E0
7.106497083E-1,-9.939331055E-1,4.816084900E0,8.203540649E0,9.564552053E0
7.206227083E-1,-1.008303223E0,4.815785522E0,8.195906525E0,9.559359254E0
7.305957083E-1,-1.031355286E0,4.830604706E0,8.238418121E0,9.605725828E0
7.405687083E-1,-1.049018555E0,4.887187042E0,8.276139679E0,9.668481013E0
7.505417083E-1,-1.067280579E0,4.942871246E0,8.365054779E0,9.774722781E0
7.605147083E-1,-1.056353302E0,4.977898407E0,8.462502136E0,9.874679603E0
7.704877083E-1,-1.019679565E0,4.960384827E0,8.445437622E0,9.847364148E0
7.804607083E-1,-1.038839722E0,4.915478210E0,8.369096375E0,9.761295413E0
7.904337083E-1,-1.088087311E0,4.892126770E0,8.339607697E0,9.729640017E0
8.004067083E-1,-1.055455170E0,4.846471710E0,8.284971313E0,9.656242712E0
8.103797083E-1,-9.967771912E-1,4.825365601E0,8.219407654E0,9.583129976E0
8.203527083E-1,-9.731263733E-1,4.849166107E0,8.253536682E0,9.621967296E0
8.303257083E-1,-1.011296997E0,4.885690155E0,8.323441315E0,9.704244701E0
8.402987083E-1,-1.018482056E0,4.890779572E0,8.404422913E0,9.777083154E0
8.502717083E-1,-9.927355957E-1,4.899162140E0,8.366701355E0,9.746230307E0
8.602447083E-1,-9.921368408E-1,4.910987549E0,8.329428864E0,9.720160462E0
8.702177083E-1,-1.011147308E0,4.912484436E0,8.384364624E0,9.769979138E0
8.801907083E-1,-9.922865295E-1,4.911137238E0,8.468789062E0,9.839933420E0
8.901637083E-1,-9.912387085E-1,4.909191284E0,8.389454041E0,9.770652606E0
9.001367083E-1,-9.572593689E-1,4.849315796E0,8.253087616E0,9.620065716E0
