,class,anno_key,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,0,NAN,0.03674579167,0.2908451843,3.552562408,9.095835114,9.769314561
1,0,NAN,0.04671779167,0.2959346008,3.465144196,8.940757599,9.593328308
2,0,NAN,0.05669079167,0.2875520325,3.392545166,8.788224792,9.424698609
3,0,NAN,0.06666279167,0.2486329651,3.30782135,8.796607361,9.401265952
4,0,NAN,0.07663579167,0.2248324585,3.26920166,8.929680634,9.511962224
5,0,NAN,0.08660779167,0.2543211365,3.324436798,8.989855499,9.588225131
6,0,NAN,0.09658079167,0.2956352234,3.360212402,8.974287872,9.587297345
7,0,NAN,0.1065527917,0.3694317627,3.373235321,9.023236084,9.640227476
8,0,NAN,0.1165257917,0.4067042542,3.371888123,9.158854065,9.768297991
9,0,NAN,0.1264977917,0.4682263184,3.372337189,9.246871033,9.853756537
10,0,NAN,0.1364707917,0.4867877197,3.371289368,9.308093719,9.911768913
11,0,NAN,0.1464427917,0.4189787292,3.361858978,9.356293488,9.950772171
12,0,NAN,0.1564157917,0.3468287659,3.314108276,9.417216797,9.989373156
13,0,NAN,0.1663877917,0.3305126953,3.244353333,9.41332489,9.962216253
14,0,NAN,0.1763607917,0.3471281433,3.222349091,9.313632202,9.86142872
15,0,NAN,0.1863327917,0.3384461975,3.22938446,9.284742279,9.836153161
16,0,NAN,0.1963057917,0.299078064,3.264261932,9.372010803,9.928717951
17,0,NAN,0.2062777917,0.2721340942,3.291654968,9.37590271,9.940653953
18,0,NAN,0.2162507917,0.3438349915,3.294049988,9.190438385,9.768988972
19,0,NAN,0.2262227917,0.3977229309,3.284020844,9.00033371,9.589003249
20,0,NAN,0.2361957917,0.3885919189,3.267106018,8.957073669,9.54223004
21,0,NAN,0.2461677917,0.3475772095,3.151396637,8.990753632,9.533402412
22,0,NAN,0.2561407917,0.3559597778,3.039728851,9.064400482,9.567132013
23,0,NAN,0.2661127917,0.3911366272,3.101699982,9.091643829,9.61413117
24,0,NAN,0.2760857917,0.4465214539,3.169508972,9.069938965,9.618157898
25,0,NAN,0.2860577917,0.5066963196,3.21306839,9.10331955,9.667004524
26,0,NAN,0.2960307917,0.5325924683,3.212319946,9.135203247,9.698174701
27,0,NAN,0.3060027917,0.5248086548,3.161276093,9.233997803,9.774241969
28,0,NAN,0.3159757917,0.4697232056,3.1054422,9.339977417,9.853912385
29,0,NAN,0.3259477917,0.5050497437,3.085832977,9.325307922,9.835588862
30,0,NAN,0.3359207917,0.5372328186,3.083887024,9.209299164,9.726775898
31,0,NAN,0.3458927917,0.5457650757,3.076252899,9.092541962,9.614338809
32,0,NAN,0.3558657917,0.5285508728,3.066972198,9.031468964,9.552649692
33,0,NAN,0.3658387917,0.5093907166,3.064876556,9.023236084,9.543151295
34,0,NAN,0.37581025,0.4902305603,3.094963989,9.076225891,9.601927126
35,0,NAN,0.38578325,0.4799020386,3.151546326,9.178014221,9.715888804
36,0,NAN,0.39575525,0.4453239441,3.113226013,9.276509399,9.795106751
37,0,NAN,0.40572725,0.4013154602,3.041225739,9.286837921,9.780361275
38,0,NAN,0.41570025,0.3873944092,3.05394928,9.324709167,9.819719023
39,0,NAN,0.42567225,0.3733236694,3.088527374,9.373058624,9.87585945
40,0,NAN,0.43564525,0.3493734741,3.101999359,9.41212738,9.916279729
41,0,NAN,0.44561825,0.3396437073,3.119063873,9.40284668,9.912489242
42,0,NAN,0.45559025,0.3426374817,3.110232239,9.33264267,9.843229359
43,0,NAN,0.46556325,0.3629951477,3.037633209,9.232800293,9.726437284
